drg_code,drg_description
267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITHOUT MCC
269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITHOUT MCC
274,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITHOUT MCC
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC"
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC"
283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC"
286,"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITH MCC"
287,"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITHOUT MCC"
291,HEART FAILURE AND SHOCK WITH MCC
305,HYPERTENSION WITHOUT MCC
308,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC
309,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC
310,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITHOUT CC/MCC
312,SYNCOPE AND COLLAPSE
329,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC
330,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC
331,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC
371,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH MCC
372,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC
377,GASTROINTESTINAL HEMORRHAGE WITH MCC
378,GASTROINTESTINAL HEMORRHAGE WITH CC
388,GASTROINTESTINAL OBSTRUCTION WITH MCC
389,GASTROINTESTINAL OBSTRUCTION WITH CC
391,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITH MCC"
392,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC"
394,OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC
454,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC
455,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITHOUT CC/MCC
472,CERVICAL SPINAL FUSION WITH CC
480,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH MCC
481,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH CC
521,HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITH MCC
522,HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITHOUT MCC
536,FRACTURES OF HIP AND PELVIS WITHOUT MCC
552,MEDICAL BACK PROBLEMS WITHOUT MCC
603,CELLULITIS WITHOUT MCC
637,DIABETES WITH MCC
640,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITH MCC"
641,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC"
673,OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH MCC
682,RENAL FAILURE WITH MCC
683,RENAL FAILURE WITH CC
689,KIDNEY AND URINARY TRACT INFECTIONS WITH MCC
690,KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC
698,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC
699,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH CC
811,RED BLOOD CELL DISORDERS WITH MCC
812,RED BLOOD CELL DISORDERS WITHOUT MCC
853,INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH MCC
854,INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH CC
870,SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS
871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
872,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC
884,ORGANIC DISTURBANCES AND INTELLECTUAL DISABILITY
885,PSYCHOSES
897,"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITHOUT MCC"
948,SIGNS AND SYMPTOMS WITHOUT MCC
981,EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH MCC
36,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC
66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC
194,SIMPLE PNEUMONIA AND PLEURISY WITH CC
86,TRAUMATIC STUPOR AND COMA <1 HOUR WITH CC
175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE
253,OTHER VASCULAR PROCEDURES WITH CC
270,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC
300,PERIPHERAL VASCULAR DISORDERS WITH CC
313,CHEST PAIN
314,OTHER CIRCULATORY SYSTEM DIAGNOSES WITH MCC
393,OTHER DIGESTIVE SYSTEM DIAGNOSES WITH MCC
417,LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH MCC
418,LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH CC
419,LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITHOUT CC/MCC
432,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH MCC
543,PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH CC
563,"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITHOUT MCC"
638,DIABETES WITH CC
74,CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC
621,O.R. PROCEDURES FOR OBESITY WITHOUT CC/MCC
813,COAGULATION DISORDERS
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC
266,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITH MCC
195,SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC
390,GASTROINTESTINAL OBSTRUCTION WITHOUT CC/MCC
4,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOU"
37,EXTRACRANIAL PROCEDURES WITH MCC
70,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC
236,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC
304,HYPERTENSION WITH MCC
321,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH INTRALUMINAL DEVICE WITH MCC OR 4+ ARTERIES/
460,SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC
493,"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH CC"
71,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC
5,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT
12,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC"
13,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC"
16,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC
18,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES
20,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC
26,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC
27,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC
28,SPINAL PROCEDURES WITH MCC
29,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS
32,VENTRICULAR SHUNT PROCEDURES WITH CC
54,NERVOUS SYSTEM NEOPLASMS WITH MCC
56,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC
73,CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC
82,TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC
83,TRAUMATIC STUPOR AND COMA >1 HOUR WITH CC
84,TRAUMATIC STUPOR AND COMA >1 HOUR WITHOUT CC/MCC
91,OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC
123,NEUROLOGICAL EYE DISORDERS
141,MAJOR HEAD AND NECK PROCEDURES WITH CC
142,MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC
145,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITHOUT CC/MCC"
164,MAJOR CHEST PROCEDURES WITH CC
165,MAJOR CHEST PROCEDURES WITHOUT CC/MCC
167,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC
176,PULMONARY EMBOLISM WITHOUT MCC
196,INTERSTITIAL LUNG DISEASE WITH MCC
200,PNEUMOTHORAX WITH CC
205,OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MCC
206,OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT MCC
216,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT
217,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT
219,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION
220,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION
235,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC
240,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH CC
268,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITH MCC
271,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH CC
273,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITH MCC
292,HEART FAILURE AND SHOCK WITH CC
299,PERIPHERAL VASCULAR DISORDERS WITH MCC
303,ATHEROSCLEROSIS WITHOUT MCC
315,OTHER CIRCULATORY SYSTEM DIAGNOSES WITH CC
326,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH MCC"
327,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH CC"
328,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITHOUT CC/MCC"
354,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH CC
355,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITHOUT CC/MCC
356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH MCC
374,DIGESTIVE MALIGNANCY WITH MCC
375,DIGESTIVE MALIGNANCY WITH CC
386,INFLAMMATORY BOWEL DISEASE WITH CC
395,OTHER DIGESTIVE SYSTEM DIAGNOSES WITHOUT CC/MCC
406,"PANCREAS, LIVER AND SHUNT PROCEDURES WITH CC"
433,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH CC
435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH MCC
436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH CC
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH MCC
441,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH MCC"
442,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC"
444,DISORDERS OF THE BILIARY TRACT WITH MCC
445,DISORDERS OF THE BILIARY TRACT WITH CC
457,"SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE"
459,SPINAL FUSION EXCEPT CERVICAL WITH MCC
463,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE D
464,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE D
465,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE D
466,REVISION OF HIP OR KNEE REPLACEMENT WITH MCC
467,REVISION OF HIP OR KNEE REPLACEMENT WITH CC
468,REVISION OF HIP OR KNEE REPLACEMENT WITHOUT CC/MCC
471,CERVICAL SPINAL FUSION WITH MCC
473,CERVICAL SPINAL FUSION WITHOUT CC/MCC
475,AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH CC
482,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITHOUT CC/MCC
483,MAJOR JOINT OR LIMB REATTACHMENT PROCEDURES OF UPPER EXTREMITIES
492,"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH MCC"
501,SOFT TISSUE PROCEDURES WITH CC
516,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH CC
517,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITHOUT CC/MCC
519,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH CC
551,MEDICAL BACK PROBLEMS WITH MCC
556,SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT MCC
580,"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH CC"
602,CELLULITIS WITH MCC
614,ADRENAL AND PITUITARY PROCEDURES WITH CC/MCC
643,ENDOCRINE DISORDERS WITH MCC
650,KIDNEY TRANSPLANT WITH HEMODIALYSIS WITH MCC
652,KIDNEY TRANSPLANT
654,MAJOR BLADDER PROCEDURES WITH CC
657,KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH CC
658,KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITHOUT CC/MCC
659,KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH MCC
660,KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH CC
674,OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH CC
737,UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITH CC
808,MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATIO
809,MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATIO
828,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDUR
834,ACUTE LEUKEMIA WITH MCC
835,ACUTE LEUKEMIA WITH CC
838,CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITH CC OR HIGH DOSE CHEMOTHERAP
840,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH MCC
841,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH CC
846,CHEMOTHERAPY WITHOUT ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITH MCC
847,CHEMOTHERAPY WITHOUT ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITH CC
856,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURES WITH MCC
857,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURES WITH CC
862,POSTOPERATIVE AND POST-TRAUMATIC INFECTIONS WITH MCC
863,POSTOPERATIVE AND POST-TRAUMATIC INFECTIONS WITHOUT MCC
880,ACUTE ADJUSTMENT REACTION AND PSYCHOSOCIAL DYSFUNCTION
907,OTHER O.R. PROCEDURES FOR INJURIES WITH MCC
908,OTHER O.R. PROCEDURES FOR INJURIES WITH CC
917,POISONING AND TOXIC EFFECTS OF DRUGS WITH MCC
919,COMPLICATIONS OF TREATMENT WITH MCC
920,COMPLICATIONS OF TREATMENT WITH CC
956,"LIMB REATTACHMENT, HIP AND FEMUR PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA"
957,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA WITH MCC
958,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA WITH CC
964,OTHER MULTIPLE SIGNIFICANT TRAUMA WITH CC
982,EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH CC
987,NON-EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH MCC
68,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC
149,DYSEQUILIBRIUM
62,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT"
87,TRAUMATIC STUPOR AND COMA <1 HOUR WITHOUT CC/MCC
103,HEADACHES WITHOUT MCC
179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC
181,RESPIRATORY NEOPLASMS WITH CC
184,MAJOR CHEST TRAUMA WITH CC
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC
199,PNEUMOTHORAX WITH MCC
254,OTHER VASCULAR PROCEDURES WITHOUT CC/MCC
272,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITHOUT CC/MCC
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC"
301,PERIPHERAL VASCULAR DISORDERS WITHOUT CC/MCC
306,CARDIAC CONGENITAL AND VALVULAR DISORDERS WITH MCC
322,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH INTRALUMINAL DEVICE WITHOUT MCC
336,PERITONEAL ADHESIOLYSIS WITH CC
357,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH CC
379,GASTROINTESTINAL HEMORRHAGE WITHOUT CC/MCC
381,COMPLICATED PEPTIC ULCER WITH CC
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC
494,"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITHOUT CC/MCC"
535,FRACTURES OF HIP AND PELVIS WITH MCC
554,BONE DISEASES AND ARTHROPATHIES WITHOUT MCC
558,"TENDONITIS, MYOSITIS AND BURSITIS WITHOUT MCC"
565,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH CC
605,"TRAUMA TO THE SKIN, SUBCUTANEOUS TISSUE AND BREAST WITHOUT MCC"
644,ENDOCRINE DISORDERS WITH CC
661,KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITHOUT CC/MCC
684,RENAL FAILURE WITHOUT CC/MCC
918,POISONING AND TOXIC EFFECTS OF DRUGS WITHOUT MCC
311,ANGINA PECTORIS
895,"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITH REHABILITATION THERAPY"
928,FULL THICKNESS BURN WITH SKIN GRAFT OR INHALATION INJURY WITH CC/MCC
935,NON-EXTENSIVE BURNS
229,OTHER CARDIOTHORACIC PROCEDURES WITHOUT MCC
264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES
41,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUR"
405,"PANCREAS, LIVER AND SHUNT PROCEDURES WITH MCC"
520,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITHOUT CC/MCC
617,"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH CC"
35,CAROTID ARTERY STENT PROCEDURES WITH CC
489,KNEE PROCEDURES WITHOUT PRINCIPAL DIAGNOSIS OF INFECTION WITHOUT CC/MCC
896,"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITH MCC"
951,OTHER FACTORS INFLUENCING HEALTH STATUS
881,DEPRESSIVE NEUROSES
453,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH MCC
469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITH MCC OR TOTA
33,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC
40,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC"
89,CONCUSSION WITH CC
228,OTHER CARDIOTHORACIC PROCEDURES WITH MCC
544,PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITHOUT CC/M
7,LUNG TRANSPLANT
988,NON-EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH CC
186,PLEURAL EFFUSION WITH MCC
215,OTHER HEART ASSIST SYSTEM IMPLANT
511,"SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITH CC"
562,"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITH MCC"
185,MAJOR CHEST TRAUMA WITHOUT CC/MCC
542,PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH MCC
221,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION
446,DISORDERS OF THE BILIARY TRACT WITHOUT CC/MCC
694,URINARY STONES WITHOUT MCC
829,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH OTHER PROCEDURES WI
849,RADIOTHERAPY
713,TRANSURETHRAL PROSTATECTOMY WITH CC/MCC
1,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC
14,ALLOGENEIC BONE MARROW TRANSPLANT
153,OTITIS MEDIA AND URI WITHOUT MCC
187,PLEURAL EFFUSION WITH CC
337,PERITONEAL ADHESIOLYSIS WITHOUT CC/MCC
348,ANAL AND STOMAL PROCEDURES WITH CC
385,INFLAMMATORY BOWEL DISEASE WITH MCC
478,BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC
545,CONNECTIVE TISSUE DISORDERS WITH MCC
651,KIDNEY TRANSPLANT WITH HEMODIALYSIS WITHOUT MCC
653,MAJOR BLADDER PROCEDURES WITH MCC
656,KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH MCC
814,RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH MCC
815,RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH CC
864,FEVER AND INFLAMMATORY CONDITIONS
865,VIRAL ILLNESS WITH MCC
866,VIRAL ILLNESS WITHOUT MCC
947,SIGNS AND SYMPTOMS WITH MCC
837,CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS OR WITH HIGH DOSE CHEMOTHERAPY A
227,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC
368,MAJOR ESOPHAGEAL DISORDERS WITH MCC
620,O.R. PROCEDURES FOR OBESITY WITH CC
11,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC"
239,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC
319,OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES WITH MCC
380,COMPLICATED PEPTIC ULCER WITH MCC
515,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH MCC
251,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT INTRALUMINAL DEVICE WITHOUT MCC
250,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT INTRALUMINAL DEVICE WITH MCC
940,O.R. PROCEDURES WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES WITH CC
146,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC"
539,OSTEOMYELITIS WITH MCC
707,MAJOR MALE PELVIC PROCEDURES WITH CC/MCC
708,MAJOR MALE PELVIC PROCEDURES WITHOUT CC/MCC
827,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDUR
974,HIV WITH MAJOR RELATED CONDITION WITH MCC
93,OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC
607,MINOR SKIN DISORDERS WITHOUT MCC
204,RESPIRATORY SIGNS AND SYMPTOMS
